Raw Material,SI Value,SI Unit,US Value,US Unit
Portland Cement,1.04,kg CO2e/kg,0.47173568,kg CO2e/lb
Fly Ash,0,kg CO2e/kg,0,kg CO2e/lb
Slag,0.15,kg CO2e/kg,0.0680388,kg CO2e/lb
Water,0.002,kg CO2e/kg,0,kg CO2e/lb
Coarse Aggregate,0.01,kg CO2e/kg,0.00453592,kg CO2e/lb
Fine Aggregate,0.01,kg CO2e/kg,0.00453592,kg CO2e/lb
Air Entraining Admixture,0.53,kg CO2e/kg,0.24040376,kg CO2e/lb
Water Reducer Admixture,1.88,kg CO2e/kg,0.85275296,kg CO2e/lb
Other Admixture,2.22,kg CO2e/kg,1.00697424,kg CO2e/lb
Retarder,2.711686,kg CO2e/kg,1.229999076,kg CO2e/lb
Set Accelerator,2.954194,kg CO2e/kg,1.339998765,kg CO2e/lb
